大区,区域,城市,主机,发送,接收,丢包率(%),最小(ms),平均(ms),最大(ms),抖动(ms)
亚太地区,韩国北部,春川,objectstorage.ap-chuncheon-1.oraclecloud.com,30,30,0.0,212.0,217.0,224.0,
亚太地区,澳大利亚东南部,墨尔本,objectstorage.ap-melbourne-1.oraclecloud.com,30,30,0.0,277.0,282.0,289.0,
亚太地区,新加坡,新加坡,objectstorage.ap-singapore-1.oraclecloud.com,30,30,0.0,259.0,264.0,275.0,
亚太地区,印度西部,孟买,objectstorage.ap-mumbai-1.oraclecloud.com,30,30,0.0,285.0,303.0,315.0,
亚太地区,澳大利亚东部,悉尼,objectstorage.ap-sydney-1.oraclecloud.com,30,30,0.0,286.0,304.0,321.0,
亚太地区,日本东部,东京,objectstorage.ap-tokyo-1.oraclecloud.com,30,29,3.0,187.0,191.0,200.0,
亚太地区,韩国中部,首尔,objectstorage.ap-seoul-1.oraclecloud.com,30,27,10.0,360.0,399.0,418.0,
亚太地区,日本中部,大阪,objectstorage.ap-osaka-1.oraclecloud.com,30,26,13.0,181.0,198.0,211.0,
亚太地区,印度南部,海得拉巴,objectstorage.ap-hyderabad-1.oraclecloud.com,30,30,0.0,314.0,318.0,326.0,
北美地区,美国东部,阿什本,objectstorage.us-ashburn-1.oraclecloud.com,30,27,10.0,235.0,250.0,265.0,
亚太地区,以色列中部,耶路撒冷,objectstorage.il-jerusalem-1.oraclecloud.com,30,27,10.0,287.0,368.0,383.0,
北美地区,美国西部,凤凰城,objectstorage.us-phoenix-1.oraclecloud.com,30,25,16.0,193.0,211.0,230.0,
北美地区,美国西部,圣何塞,objectstorage.us-sanjose-1.oraclecloud.com,30,25,16.0,183.0,263.0,279.0,
北美地区,加拿大东南部,蒙特利尔,objectstorage.ca-montreal-1.oraclecloud.com,30,23,23.0,266.0,337.0,379.0,
北美地区,墨西哥中部,克雷塔罗,objectstorage.mx-queretaro-1.oraclecloud.com,30,25,16.0,240.0,255.0,276.0,
北美地区,加拿大东南部,多伦多,objectstorage.ca-toronto-1.oraclecloud.com,30,21,30.0,316.0,376.0,421.0,
北美地区,墨西哥东北部,蒙特雷,objectstorage.mx-monterrey-1.oraclecloud.com,30,28,6.0,220.0,235.0,251.0,
欧洲地区,英国西部,纽波特,objectstorage.uk-cardiff-1.oraclecloud.com,30,30,0.0,172.0,176.0,186.0,
欧洲地区,瑞士北部,苏黎世,objectstorage.eu-zurich-1.oraclecloud.com,30,30,0.0,200.0,207.0,224.0,
欧洲地区,德国中部,法兰克福,objectstorage.eu-frankfurt-1.oraclecloud.com,30,28,6.0,343.0,375.0,395.0,
欧洲地区,瑞典中部,斯德哥尔摩,objectstorage.eu-stockholm-1.oraclecloud.com,30,30,0.0,245.0,258.0,275.0,
欧洲地区,英国南部,伦敦,objectstorage.uk-london-1.oraclecloud.com,30,24,20.0,286.0,357.0,372.0,
欧洲地区,法国中部,巴黎,objectstorage.eu-paris-1.oraclecloud.com,30,30,0.0,177.0,183.0,192.0,
欧洲地区,荷兰西北部,阿姆斯特丹,objectstorage.eu-amsterdam-1.oraclecloud.com,30,26,13.0,284.0,361.0,373.0,
欧洲地区,西班牙中部,马德里,objectstorage.eu-madrid-1.oraclecloud.com,30,30,0.0,235.0,245.0,263.0,
欧洲地区,法国南部,马赛,objectstorage.eu-marseille-1.oraclecloud.com,30,28,6.0,441.0,442.0,445.0,
欧洲地区,意大利西北部,米兰,objectstorage.eu-milan-1.oraclecloud.com,30,29,3.0,169.0,185.0,214.0,
中东地区,阿联酋中部,阿布扎比,objectstorage.me-abudhabi-1.oraclecloud.com,30,30,0.0,198.0,211.0,236.0,
中东地区,沙特阿拉伯西部,吉达,objectstorage.me-jeddah-1.oraclecloud.com,30,29,3.0,327.0,337.0,367.0,
南美地区,巴西东部,圣保罗,objectstorage.sa-saopaulo-1.oraclecloud.com,30,30,0.0,348.0,351.0,358.0,
南美地区,巴西南部,文郝多,objectstorage.sa-vinhedo-1.oraclecloud.com,30,30,0.0,359.0,360.0,364.0,
中东地区,阿联酋东部,迪拜,objectstorage.me-dubai-1.oraclecloud.com,30,21,30.0,356.0,373.0,392.0,
南美地区,哥伦比亚中部,波哥大,objectstorage.sa-bogota-1.oraclecloud.com,30,30,0.0,276.0,277.0,280.0,
南美地区,智利中部,圣地亚哥,objectstorage.sa-santiago-1.oraclecloud.com,30,27,10.0,406.0,445.0,454.0,
非洲地区,南非中部,约翰内斯堡,objectstorage.af-johannesburg-1.oraclecloud.com,30,30,0.0,478.0,495.0,515.0,
