大区,区域,城市,主机,发送,接收,丢包率(%),最小(ms),平均(ms),最大(ms),抖动(ms)
北美地区,美国西海岸,"圣何塞 (San Jose, CA)",192.210.207.88,30,30,0.0,162.0,164.0,169.0,
北美地区,美国西北,西雅图 (Seattle),192.3.253.2,30,30,0.0,148.0,149.0,153.0,
北美地区,美国西海岸,"洛杉矶 (Los Angeles DC02, CA)",204.13.154.3,30,30,0.0,158.0,159.0,170.0,
北美地区,美国中部,"芝加哥 (Chicago, IL)",198.23.228.15,30,30,0.0,243.0,294.0,311.0,
北美地区,美国东部,纽约 (New York),192.3.81.8,30,29,3.0,267.0,280.0,311.0,
北美地区,美国东部,阿什本 (Ashburn),107.173.166.10,30,28,6.0,291.0,312.0,318.0,
北美地区,美国西海岸,"洛杉矶 (Los Angeles DC03, CA)",107.174.51.158,30,26,13.0,276.0,307.0,335.0,
北美地区,美国南部,"达拉斯 (Dallas, TX)",198.23.249.100,30,25,16.0,286.0,342.0,373.0,
北美地区,加拿大东部,"多伦多 (Toronto, Canada)",167.160.186.8,30,30,0.0,192.0,193.0,202.0,
欧洲地区,法国东部,斯特拉斯堡 (Strasbourg),45.95.173.2,30,29,3.0,218.0,228.0,246.0,
