大区,区域,城市,主机,发送,接收,丢包率(%),最小(ms),平均(ms),最大(ms),抖动(ms)
亚太地区,日本东部,东京,objectstorage.ap-tokyo-1.oraclecloud.com,30,30,0.0,184.377,188.567,197.672,3.844
亚太地区,澳大利亚东部,悉尼,objectstorage.ap-sydney-1.oraclecloud.com,30,30,0.0,287.128,294.492,308.296,6.443
亚太地区,韩国中部,首尔,objectstorage.ap-seoul-1.oraclecloud.com,30,30,0.0,311.024,313.939,324.98,2.619
亚太地区,日本中部,大阪,objectstorage.ap-osaka-1.oraclecloud.com,30,13,56.6667,187.067,199.681,215.912,9.344
亚太地区,韩国北部,春川,objectstorage.ap-chuncheon-1.oraclecloud.com,30,29,3.33333,220.568,227.641,235.342,4.351
亚太地区,新加坡,新加坡,objectstorage.ap-singapore-1.oraclecloud.com,30,18,40.0,250.372,256.746,262.614,3.668
亚太地区,印度西部,孟买,objectstorage.ap-mumbai-1.oraclecloud.com,30,16,46.6667,260.782,263.367,270.615,2.473
亚太地区,澳大利亚东南部,墨尔本,objectstorage.ap-melbourne-1.oraclecloud.com,30,16,46.6667,276.962,282.847,299.492,5.42
亚太地区,印度南部,海得拉巴,objectstorage.ap-hyderabad-1.oraclecloud.com,30,22,26.6667,283.597,285.056,289.146,1.286
北美地区,美国西部,凤凰城,objectstorage.us-phoenix-1.oraclecloud.com,30,21,30.0,199.094,213.498,232.859,9.191
北美地区,美国东部,阿什本,objectstorage.us-ashburn-1.oraclecloud.com,30,21,30.0,285.096,300.682,315.249,9.68
北美地区,美国西部,圣何塞,objectstorage.us-sanjose-1.oraclecloud.com,30,24,20.0,226.41,276.105,285.268,11.011
北美地区,加拿大东南部,蒙特利尔,objectstorage.ca-montreal-1.oraclecloud.com,30,8,73.3333,267.655,273.437,279.256,4.591
亚太地区,以色列中部,耶路撒冷,objectstorage.il-jerusalem-1.oraclecloud.com,30,12,60.0,366.258,377.067,389.359,7.386
北美地区,墨西哥中部,克雷塔罗,objectstorage.mx-queretaro-1.oraclecloud.com,30,19,36.6667,241.131,254.726,266.243,7.766
北美地区,加拿大东南部,多伦多,objectstorage.ca-toronto-1.oraclecloud.com,30,13,56.6667,324.214,327.278,334.41,3.102
北美地区,墨西哥东北部,蒙特雷,objectstorage.mx-monterrey-1.oraclecloud.com,30,11,63.3333,212.873,228.701,240.127,9.272
欧洲地区,瑞士北部,苏黎世,objectstorage.eu-zurich-1.oraclecloud.com,30,30,0.0,180.513,186.439,192.806,4.027
欧洲地区,英国南部,伦敦,objectstorage.uk-london-1.oraclecloud.com,30,24,20.0,193.961,200.597,215.84,6.016
欧洲地区,英国西部,纽波特,objectstorage.uk-cardiff-1.oraclecloud.com,30,9,70.0,172.755,176.341,183.677,4.376
欧洲地区,德国中部,法兰克福,objectstorage.eu-frankfurt-1.oraclecloud.com,30,20,33.3333,239.335,243.129,255.279,4.02
欧洲地区,法国中部,巴黎,objectstorage.eu-paris-1.oraclecloud.com,30,27,10.0,177.305,184.373,195.498,5.348
欧洲地区,瑞典中部,斯德哥尔摩,objectstorage.eu-stockholm-1.oraclecloud.com,30,7,76.6667,233.184,235.067,242.427,3.131
欧洲地区,荷兰西北部,阿姆斯特丹,objectstorage.eu-amsterdam-1.oraclecloud.com,30,24,20.0,364.588,366.231,374.373,1.89
欧洲地区,意大利西北部,米兰,objectstorage.eu-milan-1.oraclecloud.com,30,20,33.3333,162.886,184.405,193.387,6.836
欧洲地区,西班牙中部,马德里,objectstorage.eu-madrid-1.oraclecloud.com,30,18,40.0,231.472,232.928,235.817,1.193
中东地区,阿联酋东部,迪拜,objectstorage.me-dubai-1.oraclecloud.com,30,8,73.3333,341.585,350.056,365.852,7.901
欧洲地区,法国南部,马赛,objectstorage.eu-marseille-1.oraclecloud.com,30,28,6.66667,442.236,443.558,447.218,1.145
中东地区,沙特阿拉伯西部,吉达,objectstorage.me-jeddah-1.oraclecloud.com,30,21,30.0,334.086,340.401,351.064,4.941
南美地区,巴西东部,圣保罗,objectstorage.sa-saopaulo-1.oraclecloud.com,30,15,50.0,351.15,379.016,412.244,20.532
中东地区,阿联酋中部,阿布扎比,objectstorage.me-abudhabi-1.oraclecloud.com,30,13,56.6667,369.135,485.283,561.939,64.954
南美地区,巴西南部,文郝多,objectstorage.sa-vinhedo-1.oraclecloud.com,30,28,6.66667,351.567,382.635,406.229,18.841
南美地区,哥伦比亚中部,波哥大,objectstorage.sa-bogota-1.oraclecloud.com,30,30,0.0,277.691,312.306,330.682,16.082
南美地区,智利中部,圣地亚哥,objectstorage.sa-santiago-1.oraclecloud.com,30,26,13.3333,445.564,448.151,449.877,0.988
非洲地区,南非中部,约翰内斯堡,objectstorage.af-johannesburg-1.oraclecloud.com,30,29,3.33333,559.586,565.291,574.283,4.553
